year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2025,重庆,物理,661,845,889,45,889,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,660,890,951,62,951,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,659,952,1027,76,1027,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,658,1028,1099,72,1099,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,657,1100,1164,65,1164,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,656,1165,1240,76,1240,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,655,1241,1315,75,1315,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,654,1316,1381,66,1381,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,653,1382,1454,73,1454,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,652,1455,1540,86,1540,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,651,1541,1619,79,1619,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,650,1620,1701,82,1701,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,649,1702,1803,102,1803,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,648,1804,1889,86,1889,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,647,1890,1994,105,1994,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,646,1995,2108,114,2108,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,645,2109,2224,116,2224,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,644,2225,2337,113,2337,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,643,2338,2472,135,2472,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,642,2473,2592,120,2592,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,641,2593,2715,123,2715,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,640,2716,2871,156,2871,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,639,2872,3012,141,3012,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,638,3013,3140,128,3140,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,637,3141,3304,164,3304,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
